name: GeForce RTX 2080 Ti major: 7 minor: 5 memoryClockRate(GHz): 1.545
pciBusID: 0000:01:00.0
totalMemory: 10.73GiB freeMemory: 10.57GiB
Loading dataset...
100%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 1/1 [00:01<00:00,  1.55s/it]
dataset has 76768927 tokens
Training...
[132 | 87.43] loss=3.13 avg=3.49
[133 | 88.06] loss=3.40 avg=3.49
[134 | 88.68] loss=3.39 avg=3.49
[135 | 89.30] loss=3.52 avg=3.49
[136 | 89.93] loss=3.29 avg=3.49
[137 | 90.55] loss=3.39 avg=3.49
[138 | 91.18] loss=3.31 avg=3.48
[139 | 91.80] loss=2.85 avg=3.47
[140 | 92.43] loss=3.50 avg=3.48
[141 | 93.05] loss=3.31 avg=3.47
[142 | 93.68] loss=2.04 avg=3.45
[143 | 94.30] loss=2.71 avg=3.44
[144 | 94.93] loss=3.65 avg=3.45
[145 | 95.55] loss=3.64 avg=3.45
[146 | 96.17] loss=2.96 avg=3.44
[147 | 96.80] loss=2.31 avg=3.43
[148 | 97.42] loss=3.30 avg=3.43
[149 | 98.05] loss=3.50 avg=3.43
[150 | 98.67] loss=3.31 avg=3.43
[151 | 99.30] loss=3.21 avg=3.42
[152 | 99.92] loss=3.06 avg=3.42
[153 | 100.55] loss=2.80 avg=3.41
[154 | 101.17] loss=2.49 avg=3.40
[155 | 101.79] loss=3.24 avg=3.40
[156 | 102.42] loss=3.55 avg=3.40
[157 | 103.04] loss=0.87 avg=3.37
[158 | 103.67] loss=3.38 avg=3.37
[159 | 104.30] loss=3.38 avg=3.37
[160 | 104.92] loss=3.07 avg=3.36
[161 | 105.55] loss=3.33 avg=3.36
[162 | 106.17] loss=3.45 avg=3.37
[163 | 106.80] loss=3.02 avg=3.36
[164 | 107.42] loss=3.73 avg=3.37
[165 | 108.05] loss=3.34 avg=3.36
[166 | 108.67] loss=3.46 avg=3.37
[167 | 109.30] loss=3.34 avg=3.37
[168 | 109.92] loss=3.62 avg=3.37
[169 | 110.55] loss=3.24 avg=3.37
[170 | 111.18] loss=2.90 avg=3.36
[171 | 111.80] loss=3.50 avg=3.36
[172 | 112.43] loss=2.48 avg=3.35
[173 | 113.05] loss=3.12 avg=3.35
[174 | 113.68] loss=3.43 avg=3.35
[175 | 114.30] loss=3.59 avg=3.35
[176 | 114.93] loss=3.15 avg=3.35
[177 | 115.55] loss=3.64 avg=3.35
[178 | 116.18] loss=3.57 avg=3.36
[179 | 116.80] loss=3.70 avg=3.36
[180 | 117.43] loss=3.91 avg=3.37
[181 | 118.05] loss=3.44 avg=3.37
[182 | 118.68] loss=3.18 avg=3.37
[183 | 119.30] loss=3.39 avg=3.37
[184 | 119.93] loss=3.15 avg=3.36
[185 | 120.56] loss=3.53 avg=3.37
[186 | 121.18] loss=3.56 avg=3.37
[187 | 121.81] loss=2.82 avg=3.36
[188 | 122.43] loss=3.52 avg=3.36
[189 | 123.06] loss=2.95 avg=3.36
[190 | 123.68] loss=3.20 avg=3.36
[191 | 124.31] loss=3.38 avg=3.36
[192 | 124.94] loss=3.14 avg=3.35
[193 | 125.56] loss=2.85 avg=3.35
[194 | 126.19] loss=2.87 avg=3.34
[195 | 126.82] loss=3.21 avg=3.34
[196 | 127.44] loss=3.11 avg=3.34
[197 | 128.07] loss=3.30 avg=3.34
[198 | 128.69] loss=2.59 avg=3.33
[199 | 129.32] loss=0.70 avg=3.30
[200 | 129.94] loss=2.30 avg=3.29
[201 | 130.56] loss=3.13 avg=3.29
[202 | 131.19] loss=3.22 avg=3.29
[203 | 131.82] loss=2.85 avg=3.28
